Hotel,Hotel Latitude,Hotel Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Hôtel Le Meurice,48.8653326,2.3281374,Librairie Galignani,48.864989,2.32857,Bookstore
Hôtel Le Meurice,48.8653326,2.3281374,Hôtel Mandarin Oriental,48.86698662076993,2.327178418636322,Hotel
Hôtel Le Meurice,48.8653326,2.3281374,Balagan,48.865432333548,2.3296802389659015,Israeli Restaurant
Hôtel Le Meurice,48.8653326,2.3281374,Le Dalí,48.8653326,2.3281374,French Restaurant
Hôtel Le Meurice,48.8653326,2.3281374,Ladurée,48.86612102985312,2.3284493959564543,Dessert Shop
Hôtel Le Meurice,48.8653326,2.3281374,Balenciaga,48.8659267043082,2.330284387731581,Women's Store
Hôtel Le Meurice,48.8653326,2.3281374,Hôtel Le Meurice,48.8653326,2.3281374,Hotel
Hôtel Le Meurice,48.8653326,2.3281374,Angelina,48.865089750224186,2.3284433919743606,Tea Room
Hôtel Le Meurice,48.8653326,2.3281374,Café Kitsuné,48.864451,2.33031,Coffee Shop
Hôtel Le Meurice,48.8653326,2.3281374,Jardin des Tuileries,48.863641957269515,2.326483726501465,Garden
Hôtel Le Meurice,48.8653326,2.3281374,Hôtel Brighton,48.864851029566395,2.329005330704668,Hotel
Hôtel Le Meurice,48.8653326,2.3281374,Louis Vuitton,48.8666749,2.3288837,Boutique
Hôtel Le Meurice,48.8653326,2.3281374,Bar de l'Hôtel Costes,48.86673982195345,2.3279120163665894,Hotel Bar
Hôtel Le Meurice,48.8653326,2.3281374,Carré des Feuillants,48.86623003973648,2.3287292149896883,French Restaurant
Hôtel Le Meurice,48.8653326,2.3281374,Bar 8,48.8669653,2.3271337,Hotel Bar
Hôtel Le Meurice,48.8653326,2.3281374,Jean-Paul Hévin,48.86611759485579,2.329147144992021,Chocolate Shop
Hôtel Le Meurice,48.8653326,2.3281374,Carolina Herrera,48.866831074118366,2.3287049329408145,Clothing Store
Hôtel Le Meurice,48.8653326,2.3281374,Hôtel Costes,48.86666608945805,2.3279080151205545,Hotel
Hôtel Le Meurice,48.8653326,2.3281374,Jovoy,48.865571820030986,2.3275825048045817,Perfume Shop
Hôtel Le Meurice,48.8653326,2.3281374,Uma,48.86516293320189,2.3304949700832367,Japanese Restaurant
Hôtel Le Meurice,48.8653326,2.3281374,Cercle Suédois - Svenska Klubben,48.866009843905864,2.3255255480227746,Scandinavian Restaurant
Hôtel Le Meurice,48.8653326,2.3281374,Goyard,48.86647624483724,2.328925407729518,Accessories Store
Hôtel Le Meurice,48.8653326,2.3281374,Kinugawa Vendôme,48.86547710892282,2.3289835302421125,Japanese Restaurant
Hôtel Le Meurice,48.8653326,2.3281374,Restaurant Costes Saint-Honoré,48.866697894503744,2.3278935244036782,French Restaurant
Hôtel Le Meurice,48.8653326,2.3281374,Pierre Hermé,48.866577630454685,2.325458970070264,Pastry Shop
Hôtel Le Meurice,48.8653326,2.3281374,Sur Mesure par Thierry Marx,48.8669925,2.3270258,French Restaurant
Hôtel Le Meurice,48.8653326,2.3281374,WHSmith,48.86620819555761,2.325052118828308,Bookstore
Hôtel Le Meurice,48.8653326,2.3281374,Les Malles Moynat,48.866119181714105,2.3296621666745567,Boutique
Hôtel Le Meurice,48.8653326,2.3281374,Rolex,48.86731851608742,2.3288758674776724,Jewelry Store
Hôtel Le Meurice,48.8653326,2.3281374,Camélia,48.866973179616124,2.3270940081647495,French Restaurant
Hôtel Le Meurice,48.8653326,2.3281374,Hôtel Renaissance Paris Vendôme,48.8654778858979,2.329597771167755,Hotel
Hôtel Le Meurice,48.8653326,2.3281374,Chopard,48.8667117973106,2.328503297689769,Jewelry Store
Hôtel Le Meurice,48.8653326,2.3281374,Giuseppe Zanotti Design,48.866813651480456,2.3291115650226573,Shoe Store
Hôtel Le Meurice,48.8653326,2.3281374,Le Castiglione,48.86638049166744,2.3287635891028913,French Restaurant
Hôtel Le Meurice,48.8653326,2.3281374,Taokan,48.865289,2.329614,Cantonese Restaurant
Hôtel Le Meurice,48.8653326,2.3281374,Bar 228,48.865336,2.328134,Hotel Bar
Hôtel Le Meurice,48.8653326,2.3281374,Melia Vendôme Hôtel,48.86682673185158,2.32583242556253,Hotel
Hôtel Le Meurice,48.8653326,2.3281374,Grand Bassin Rond,48.862879687441755,2.3292946815490723,Fountain
Hôtel Le Meurice,48.8653326,2.3281374,Hôtel Le Pradey,48.86445923930909,2.33165399481692,Hotel
Hôtel Le Meurice,48.8653326,2.3281374,Place Vendôme,48.86779769319868,2.3297411847276526,Plaza
Hôtel Le Meurice,48.8653326,2.3281374,Ferdi,48.866383,2.3267124,Burger Joint
Hôtel Le Meurice,48.8653326,2.3281374,Le Soufflé,48.866479192925254,2.326459586620331,French Restaurant
Hôtel Le Meurice,48.8653326,2.3281374,Jin,48.865348322565886,2.331786581284321,Japanese Restaurant
Hôtel Le Meurice,48.8653326,2.3281374,Le Chocolat Alain Ducasse,48.866244,2.331209,Chocolate Shop
Hôtel Le Meurice,48.8653326,2.3281374,Restaurant Le Meurice Alain Ducasse,48.86529145109384,2.3280563207176783,French Restaurant
Hôtel Le Meurice,48.8653326,2.3281374,Da Rosa,48.86637831147618,2.3263391569564655,Tapas Restaurant
Hôtel Le Meurice,48.8653326,2.3281374,Spa Six Senses,48.86593583799367,2.3274841601956635,Spa
Hôtel Le Meurice,48.8653326,2.3281374,Agent Provocateur,48.867177929450214,2.325904099618626,Lingerie Store
Hôtel Le Meurice,48.8653326,2.3281374,Amorino,48.86421536708272,2.324462294850483,Ice Cream Shop
Hôtel Le Meurice,48.8653326,2.3281374,Ladurée,48.86533493268436,2.327821630451812,Dessert Shop
Hôtel Le Meurice,48.8653326,2.3281374,Michel Cluizel,48.86504641171176,2.331745211681605,Candy Store
Hôtel Le Meurice,48.8653326,2.3281374,Happy Caffé,48.864705,2.329652,Café
Hôtel Le Meurice,48.8653326,2.3281374,Pierre Marcolini,48.86651120958976,2.3288288342952135,Chocolate Shop
Hôtel Le Meurice,48.8653326,2.3281374,La Corte,48.86543289277699,2.3314002156257625,Italian Restaurant
Hôtel Le Meurice,48.8653326,2.3281374,La Terrasse de Pomone,48.863052481144216,2.3277325238113273,Beer Garden
Hôtel Le Meurice,48.8653326,2.3281374,Maisie Café,48.86634509834429,2.3267948627471924,Vegetarian / Vegan Restaurant
Hôtel Le Meurice,48.8653326,2.3281374,Rossano Ferretti Shu Uemura Art of Hair,48.866405132266124,2.3255352862340213,Salon / Barbershop
Hôtel Le Meurice,48.8653326,2.3281374,La Pâtisserie du Meurice par Cédric Grolet,48.86566,2.32784,Pastry Shop
Hôtel Le Meurice,48.8653326,2.3281374,L'Écume Saint-Honoré,48.86597192747403,2.331164574468804,Seafood Restaurant
Hôtel Le Meurice,48.8653326,2.3281374,Qualité & Co,48.86608409105402,2.331243591903877,Sandwich Place
Hôtel Le Meurice,48.8653326,2.3281374,The Westin Paris – Vendôme,48.8654924,2.3271121,Hotel
Hôtel Le Meurice,48.8653326,2.3281374,Le Petit Flottes,48.86624822140249,2.325386703014374,Snack Place
Hôtel Le Meurice,48.8653326,2.3281374,L'Ardoise,48.86623516627844,2.326841050934661,French Restaurant
Hôtel Le Meurice,48.8653326,2.3281374,Maison Margiela,48.86628021,2.32718759,Men's Store
Hôtel Le Meurice,48.8653326,2.3281374,Nomad's,48.86644566931371,2.3315343260765076,French Restaurant
Hôtel Le Meurice,48.8653326,2.3281374,Bar Tuileries,48.86553679549941,2.3272644220904963,Bar
Hôtel Le Meurice,48.8653326,2.3281374,Indochine,48.86642987930043,2.3263034939161007,Vietnamese Restaurant
Hôtel Le Meurice,48.8653326,2.3281374,Allée de Diane,48.862894509508834,2.3279106616973877,Garden
Hôtel Le Meurice,48.8653326,2.3281374,Flottes,48.86634774495135,2.325432300567627,French Restaurant
Hôtel Le Meurice,48.8653326,2.3281374,Le First,48.86576319429764,2.326781451702118,French Restaurant
