Hotel,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
7 Eiffel Hotel****,French Restaurant,Italian Restaurant,Cocktail Bar,Coffee Shop,Bar,Bakery,Café,Irish Pub,Cheese Shop,Dessert Shop
Artus Hotel,Plaza,Chocolate Shop,Seafood Restaurant,Wine Bar,French Restaurant,Bookstore,Clothing Store,Cocktail Bar,Italian Restaurant,Pastry Shop
Champs Elysées Friedland,French Restaurant,Salad Place,Café,Asian Restaurant,Pub,Gym / Fitness Center,Bed & Breakfast,Middle Eastern Restaurant,Brasserie,Cocktail Bar
Citadines Saint-Germain-des-Prés Paris,French Restaurant,Plaza,Japanese Restaurant,Asian Restaurant,Museum,Restaurant,Bar,Café,Bookstore,Bistro
Cordelia Hotel,French Restaurant,Salad Place,Department Store,Boutique,Gourmet Shop,Theater,Coffee Shop,Clothing Store,Restaurant,Lounge
Courtyard by Marriott Paris Gare de Lyon,French Restaurant,Sandwich Place,Bakery,Coffee Shop,Train Station,Platform,Design Studio,Burger Joint,Mac & Cheese Joint,Lounge
Fraser Suites Le Claridge Champs-Élysées,French Restaurant,Cosmetics Shop,Café,Department Store,Clothing Store,Fast Food Restaurant,Seafood Restaurant,Burger Joint,Spa,Multiplex
Grand Hôtel Français,French Restaurant,Italian Restaurant,Restaurant,Gastropub,Korean Restaurant,Bar,Ethiopian Restaurant,Bistro,Thai Restaurant,Board Shop
Grand Hôtel du Palais Royal,French Restaurant,Plaza,Café,Historic Site,Coffee Shop,Theater,Shoe Store,Spa,Sculpture Garden,Garden
Hilton,Cosmetics Shop,Department Store,French Restaurant,Sandwich Place,Bistro,Boutique,Restaurant,Theater,Kebab Restaurant,Mediterranean Restaurant
Holiday Inn Paris - Notre Dame,French Restaurant,Bookstore,Bistro,Coffee Shop,Bar,Asian Restaurant,Burger Joint,Creperie,Plaza,Chocolate Shop
Hotel Athenee Paris,Chocolate Shop,Gourmet Shop,French Restaurant,Clothing Store,Furniture / Home Store,Lounge,Wine Shop,Opera House,Sandwich Place,Dessert Shop
Hotel Atmospheres,French Restaurant,Italian Restaurant,Bakery,Coffee Shop,Tapas Restaurant,Portuguese Restaurant,Seafood Restaurant,Ethiopian Restaurant,Flower Shop,Market
Hotel De Lille,French Restaurant,Café,Art Museum,Arts & Crafts Store,Bookstore,Boutique,Exhibit,Historic Site,Gastropub,Cheese Shop
Hotel Duo Paris,French Restaurant,Plaza,Pastry Shop,Art Gallery,Clothing Store,Restaurant,Cocktail Bar,Frozen Yogurt Shop,Furniture / Home Store,Gay Bar
Hotel L'Echiquier MGallery,French Restaurant,Bar,Corsican Restaurant,Comedy Club,Café,Restaurant,Gym / Fitness Center,Doner Restaurant,Hotel Bar,Wine Bar
Hotel Relais Bosquet,French Restaurant,Italian Restaurant,Café,Coffee Shop,Japanese Restaurant,Ice Cream Shop,Pizza Place,Burger Joint,Cheese Shop,Cocktail Bar
Hôtel Amour,French Restaurant,Bakery,Cheese Shop,Café,Cocktail Bar,Coffee Shop,Plaza,Falafel Restaurant,Farmers Market,Exhibit
Hôtel Arès Tour Eiffel,French Restaurant,Bakery,Supermarket,Korean Restaurant,Creperie,Pizza Place,Bar,Brasserie,Thai Restaurant,Bike Rental / Bike Share
Hôtel Banke,French Restaurant,Salad Place,Bistro,Sandwich Place,Coffee Shop,Clothing Store,Modern European Restaurant,Food & Drink Shop,Brasserie,Burger Joint
Hôtel Barrière Le Fouquet's,French Restaurant,Asian Restaurant,Café,Pastry Shop,Cosmetics Shop,Clothing Store,Electronics Store,Bakery,Hotel Bar,Halal Restaurant
Hôtel Bel Ami,Italian Restaurant,French Restaurant,Plaza,Café,Japanese Restaurant,Cosmetics Shop,Clothing Store,Boutique,Sandwich Place,Steakhouse
Hôtel Brighton,French Restaurant,Japanese Restaurant,Chocolate Shop,Hotel Bar,Café,Dessert Shop,Jewelry Store,Clothing Store,Garden,Boutique
Hôtel Caron de Beaumarchais,French Restaurant,Clothing Store,Falafel Restaurant,Pastry Shop,Wine Bar,Plaza,Italian Restaurant,Ice Cream Shop,Bistro,Furniture / Home Store
Hôtel Catalogne Paris Gare Montparnasse,French Restaurant,Seafood Restaurant,Japanese Restaurant,Plaza,Garden,Burger Joint,Gourmet Shop,Thai Restaurant,Café,Spanish Restaurant
Hôtel Château Frontenac,French Restaurant,Italian Restaurant,Café,Steakhouse,Clothing Store,Pastry Shop,Hotel Bar,Cosmetics Shop,Boutique,Japanese Restaurant
Hôtel Costes,French Restaurant,Jewelry Store,Boutique,Hotel Bar,Chocolate Shop,Accessories Store,Tea Room,Japanese Restaurant,Men's Store,Dessert Shop
Hôtel Crayon,French Restaurant,Bakery,Restaurant,Clothing Store,Italian Restaurant,Bistro,Shoe Store,South American Restaurant,Boutique,Spa
Hôtel Du Louvre - In the Unbound Collection by Hyatt,Café,Plaza,Cosmetics Shop,Coffee Shop,Italian Restaurant,Tea Room,Garden,Furniture / Home Store,French Restaurant,Japanese Restaurant
Hôtel Dupond-Smith,French Restaurant,Clothing Store,Italian Restaurant,Bakery,Gourmet Shop,Pastry Shop,Ice Cream Shop,Optical Shop,Gay Bar,Men's Store
Hôtel Edouard 7,Japanese Restaurant,Jewelry Store,French Restaurant,Bakery,Italian Restaurant,Plaza,Sandwich Place,Chocolate Shop,Cocktail Bar,Coffee Shop
Hôtel Four Seasons George V,French Restaurant,Italian Restaurant,Japanese Restaurant,Lebanese Restaurant,Boutique,Sandwich Place,Hotel Bar,Seafood Restaurant,Supermarket,Tapas Restaurant
Hôtel Jeanne d'Arc,French Restaurant,Bakery,Clothing Store,Cosmetics Shop,Italian Restaurant,Plaza,Coffee Shop,Tapas Restaurant,Tea Room,Bistro
Hôtel Joke ***,Italian Restaurant,Comedy Club,Basketball Court,Wine Bar,Vietnamese Restaurant,Hotel Bar,Bar,Gastropub,Comfort Food Restaurant,Beer Bar
Hôtel Jules,French Restaurant,Japanese Restaurant,Bar,Wine Bar,Bistro,Burger Joint,Bakery,Cocktail Bar,Cheese Shop,Pizza Place
Hôtel Jules & Jim,French Restaurant,Chinese Restaurant,Café,Art Gallery,Wine Bar,Vietnamese Restaurant,Vegetarian / Vegan Restaurant,Japanese Restaurant,Restaurant,Museum
Hôtel Le Littré,French Restaurant,Bistro,Cosmetics Shop,Sandwich Place,Japanese Restaurant,Ice Cream Shop,Clothing Store,Café,Multiplex,Restaurant
Hôtel Le Meurice,French Restaurant,Café,Hotel Bar,Chocolate Shop,Japanese Restaurant,Pastry Shop,Beer Garden,Clothing Store,Bookstore,Dessert Shop
Hôtel Le Royal Monceau Raffles,French Restaurant,Italian Restaurant,Brasserie,Pizza Place,Bistro,Asian Restaurant,Sporting Goods Shop,Spa,Seafood Restaurant,Salad Place
Hôtel Les Jardins du Marais,Bar,Café,French Restaurant,Restaurant,Art Gallery,Clothing Store,Pizza Place,Coffee Shop,Tea Room,Bistro
Hôtel Louison (Ex-Aviatic Saint-Germain),French Restaurant,Bistro,Japanese Restaurant,Vietnamese Restaurant,Italian Restaurant,Bar,Creperie,Comedy Club,Café,Sandwich Place
Hôtel Lutetia,French Restaurant,Chocolate Shop,Gourmet Shop,Market,Furniture / Home Store,Coffee Shop,Department Store,Shoe Store,Garden,Art Gallery
Hôtel Madison,Italian Restaurant,French Restaurant,Pastry Shop,Clothing Store,Café,Japanese Restaurant,Plaza,Cocktail Bar,Seafood Restaurant,Ice Cream Shop
Hôtel Maison Souquet,Italian Restaurant,Bar,Comfort Food Restaurant,Gastropub,Chinese Restaurant,Bistro,Dessert Shop,Kebab Restaurant,Beer Bar,Comedy Club
Hôtel Mandarin Oriental,French Restaurant,Boutique,Jewelry Store,Hotel Bar,Men's Store,Chocolate Shop,Tea Room,Clothing Store,Bookstore,Pastry Shop
Hôtel Monte Cristo,French Restaurant,Café,Italian Restaurant,Tea Room,Bakery,Dessert Shop,Sushi Restaurant,Greek Restaurant,Food & Drink Shop,Cheese Shop
Hôtel Napoléon,French Restaurant,Italian Restaurant,Jewelry Store,Movie Theater,Men's Store,Japanese Restaurant,Asian Restaurant,Clothing Store,Electronics Store,Brasserie
Hôtel Odyssey,French Restaurant,Italian Restaurant,Restaurant,Wine Bar,Historic Site,Bistro,Clothing Store,Coffee Shop,Salad Place,Lebanese Restaurant
Hôtel Paris Bastille Boutet MGallery by Sofitel,Bar,French Restaurant,Noodle House,Beer Store,Garden,Cajun / Creole Restaurant,Korean Restaurant,Chocolate Shop,Cocktail Bar,Coffee Shop
Hôtel Paris Marriott Champs-Élysées,French Restaurant,Cosmetics Shop,Café,Department Store,Clothing Store,Fast Food Restaurant,Seafood Restaurant,Burger Joint,Spa,Multiplex
Hôtel Particulier Montmartre,French Restaurant,Italian Restaurant,Bakery,Plaza,Comedy Club,Bistro,Chocolate Shop,Hotel Bar,Wine Bar,Outdoor Sculpture
Hôtel Plaza Athénée,French Restaurant,Boutique,Italian Restaurant,Seafood Restaurant,Accessories Store,Bistro,Japanese Restaurant,Sandwich Place,Plaza,Brasserie
Hôtel Prince de Galles,French Restaurant,Boutique,Japanese Restaurant,Italian Restaurant,Sandwich Place,Tapas Restaurant,Bakery,Lebanese Restaurant,Seafood Restaurant,Hotel Bar
Hôtel Providence,French Restaurant,Bar,Theater,Restaurant,Cocktail Bar,Burger Joint,Indie Movie Theater,Coffee Shop,Pizza Place,Chinese Restaurant
Hôtel Pullman Paris Centre - Bercy,Italian Restaurant,Cosmetics Shop,Breakfast Spot,Supermarket,Big Box Store,Food & Drink Shop,Flea Market,Shopping Plaza,Burger Joint,Miscellaneous Shop
Hôtel Pullman Paris Tour Eiffel,French Restaurant,Café,Creperie,Athletics & Sports,Bus Stop,Sandwich Place,Brasserie,Bistro,Library,Furniture / Home Store
Hôtel Quartier Latin,French Restaurant,Italian Restaurant,Wine Bar,Bar,Bakery,Historic Site,Bistro,Japanese Restaurant,Café,Argentinian Restaurant
Hôtel R. Kipling,Italian Restaurant,French Restaurant,Basketball Court,Wine Bar,Vietnamese Restaurant,Hotel Bar,Bar,Gastropub,Comfort Food Restaurant,Comedy Club
Hôtel Raphaël,French Restaurant,Bakery,Vegetarian / Vegan Restaurant,Roof Deck,Movie Theater,Plaza,Molecular Gastronomy Restaurant,Steakhouse,Exhibit,Falafel Restaurant
Hôtel Regina,Japanese Restaurant,Coffee Shop,Italian Restaurant,Plaza,Café,Cosmetics Shop,Furniture / Home Store,Chocolate Shop,Gift Shop,Tea Room
Hôtel Renaissance Paris Vendôme,French Restaurant,Japanese Restaurant,Jewelry Store,Chocolate Shop,Dessert Shop,Hotel Bar,Plaza,Italian Restaurant,Clothing Store,Café
Hôtel Ritz,French Restaurant,Jewelry Store,Chocolate Shop,Boutique,Shoe Store,Cocktail Bar,Hotel Bar,Sandwich Place,Plaza,Men's Store
Hôtel San Régis,Boutique,French Restaurant,Clothing Store,Plaza,Tailor Shop,Theater,Shoe Store,Men's Store,Event Space,Brasserie
Hôtel Scribe,Chocolate Shop,French Restaurant,Sandwich Place,Coffee Shop,Pub,Men's Store,Candy Store,Opera House,Gourmet Shop,Theater
Hôtel Seven,Italian Restaurant,French Restaurant,Café,Restaurant,Sushi Restaurant,Tea Room,Thai Restaurant,Sandwich Place,Cheese Shop,Dessert Shop
Hôtel Sofitel Paris Le Faubourg,Boutique,French Restaurant,Women's Store,Men's Store,Clothing Store,Tea Room,Shoe Store,Dessert Shop,Cocktail Bar,Salad Place
Hôtel Square Louvois,Japanese Restaurant,French Restaurant,Wine Bar,Italian Restaurant,Bakery,Korean Restaurant,Udon Restaurant,Bookstore,Pastry Shop,Coffee Shop
Hôtel Verneuil,French Restaurant,Café,Italian Restaurant,Clothing Store,Cheese Shop,Restaurant,Bookstore,Bar,Bakery,Boutique
Hôtel Villa Saxe Eiffel,Bistro,French Restaurant,Deli / Bodega,Bar,Rental Car Location,Asian Restaurant,Pastry Shop,Plaza,Farmers Market,Wine Bar
Hôtel citizenM Paris Gare de Lyon,Sandwich Place,French Restaurant,Coffee Shop,Bakery,Hotel Bar,Train Station,Convenience Store,Fast Food Restaurant,Mac & Cheese Joint,Lounge
Hôtel de Crillon,Boutique,Women's Store,French Restaurant,Men's Store,Fountain,Lounge,Tea Room,Accessories Store,Clothing Store,Shoe Store
Hôtel de Turenne,French Restaurant,Coffee Shop,Italian Restaurant,Japanese Restaurant,Dessert Shop,Café,Plaza,Basque Restaurant,Korean Restaurant,Gourmet Shop
Hôtel de l'Academie,French Restaurant,Italian Restaurant,Café,Plaza,Boutique,Clothing Store,Japanese Restaurant,Shoe Store,Korean Restaurant,Restaurant
Hôtel du College de France,Coffee Shop,Indie Movie Theater,Comic Shop,Italian Restaurant,Bookstore,Bakery,Plaza,French Restaurant,Burger Joint,Bar
Hôtel du Midi Paris Montparnasse,French Restaurant,Plaza,Bakery,Bistro,Supermarket,Ice Cream Shop,Café,Cajun / Creole Restaurant,Lebanese Restaurant,Sushi Restaurant
Hôtel Élysées 8,French Restaurant,Bakery,Hotel Bar,Theater,Salad Place,Modern European Restaurant,Corsican Restaurant,Spa,Bar,Thai Restaurant
InterContinental Paris Le Grand Hôtel,Chocolate Shop,Coffee Shop,Clothing Store,Men's Store,Electronics Store,Sandwich Place,Candy Store,French Restaurant,Furniture / Home Store,Roof Deck
K+K Hotel Cayré Paris,French Restaurant,Bakery,Seafood Restaurant,Bistro,Chocolate Shop,Art Museum,Bookstore,Brasserie,Pedestrian Plaza,Men's Store
Le 123 Sébastopol,Bar,Cocktail Bar,Burger Joint,Historic Site,Theater,Restaurant,Brasserie,French Restaurant,Food & Drink Shop,Bookstore
Le Bristol,French Restaurant,Bar,Hotel Bar,Theater,Cocktail Bar,Resort,Snack Place,Spa,Mediterranean Restaurant,Bakery
Le General Hotel,French Restaurant,Wine Bar,Bakery,Pizza Place,Theater,Café,Korean Restaurant,Chinese Restaurant,Bar,Restaurant
Le Pigalle,French Restaurant,Coffee Shop,Music Venue,Italian Restaurant,Bar,Cocktail Bar,Karaoke Bar,Taco Place,Speakeasy,Ramen Restaurant
Mama Shelter,French Restaurant,Bus Station,Pizza Place,Roof Deck,Lounge,Bistro,Grocery Store,Supermarket,Event Service,Escape Room
Melia Vendôme Hôtel,French Restaurant,Boutique,Dessert Shop,Clothing Store,Hotel Bar,Accessories Store,Bookstore,Chocolate Shop,Men's Store,Jewelry Store
Millesime Hôtel,French Restaurant,Café,Plaza,Italian Restaurant,Cosmetics Shop,Bookstore,Ice Cream Shop,Boutique,Seafood Restaurant,Sandwich Place
New Hotel Roblin,French Restaurant,Gourmet Shop,Theater,Salad Place,Restaurant,Sandwich Place,Creperie,Clothing Store,Dessert Shop,Resort
Novotel Paris Les Halles,French Restaurant,Pizza Place,Bar,Italian Restaurant,Café,Clothing Store,Bakery,Tea Room,Cosmetics Shop,Furniture / Home Store
