Hotel,Hotel Latitude,Hotel Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Hôtel Le Meurice,48.8653326,2.3281374,1,French Restaurant,Café,Hotel Bar,Chocolate Shop,Japanese Restaurant,Pastry Shop,Beer Garden,Clothing Store,Bookstore,Dessert Shop
Hôtel Bel Ami,48.85491750702932,2.3331407841668503,5,Italian Restaurant,French Restaurant,Plaza,Café,Japanese Restaurant,Cosmetics Shop,Clothing Store,Boutique,Sandwich Place,Steakhouse
InterContinental Paris Le Grand Hôtel,48.870836100000005,2.3307252999999997,4,Chocolate Shop,Coffee Shop,Clothing Store,Men's Store,Electronics Store,Sandwich Place,Candy Store,French Restaurant,Furniture / Home Store,Roof Deck
Grand Hôtel du Palais Royal,48.86318291896972,2.3379009305339022,2,French Restaurant,Plaza,Café,Historic Site,Coffee Shop,Theater,Shoe Store,Spa,Sculpture Garden,Garden
Hôtel Les Jardins du Marais,48.86069911867528,2.3685297404907706,3,Bar,Café,French Restaurant,Restaurant,Art Gallery,Clothing Store,Pizza Place,Coffee Shop,Tea Room,Bistro
Le Bristol,48.87180426661001,2.3149024227359742,2,French Restaurant,Bar,Hotel Bar,Theater,Cocktail Bar,Resort,Snack Place,Spa,Mediterranean Restaurant,Bakery
W Paris – Opéra,48.8720985,2.3332127000000003,4,Coffee Shop,Jewelry Store,French Restaurant,Salad Place,Clothing Store,Chocolate Shop,Sandwich Place,Women's Store,Plaza,Cosmetics Shop
Hôtel Plaza Athénée,48.86623539871468,2.3043736770606533,1,French Restaurant,Boutique,Italian Restaurant,Seafood Restaurant,Accessories Store,Bistro,Japanese Restaurant,Sandwich Place,Plaza,Brasserie
Hôtel Four Seasons George V,48.868849,2.3006830000000003,2,French Restaurant,Italian Restaurant,Japanese Restaurant,Lebanese Restaurant,Boutique,Sandwich Place,Hotel Bar,Seafood Restaurant,Supermarket,Tapas Restaurant
Hôtel Prince de Galles,48.869143,2.3006578999999996,2,French Restaurant,Boutique,Japanese Restaurant,Italian Restaurant,Sandwich Place,Tapas Restaurant,Bakery,Lebanese Restaurant,Seafood Restaurant,Hotel Bar
Hôtel Costes,48.86666608945804,2.3279080151205545,1,French Restaurant,Jewelry Store,Boutique,Hotel Bar,Chocolate Shop,Accessories Store,Tea Room,Japanese Restaurant,Men's Store,Dessert Shop
Hôtel Barrière Le Fouquet's,48.871078772365294,2.3012360930442806,3,French Restaurant,Asian Restaurant,Café,Pastry Shop,Cosmetics Shop,Clothing Store,Electronics Store,Bakery,Hotel Bar,Halal Restaurant
Mama Shelter,48.8597833500067,2.402849974350829,0,French Restaurant,Bus Station,Pizza Place,Roof Deck,Lounge,Bistro,Grocery Store,Supermarket,Event Service,Escape Room
Artus Hotel,48.85343456723105,2.3361660879440667,3,Plaza,Chocolate Shop,Seafood Restaurant,Wine Bar,French Restaurant,Bookstore,Clothing Store,Cocktail Bar,Italian Restaurant,Pastry Shop
Grand Hôtel Français,48.85160314467263,2.3906680194113625,2,French Restaurant,Italian Restaurant,Restaurant,Gastropub,Korean Restaurant,Bar,Ethiopian Restaurant,Bistro,Thai Restaurant,Board Shop
Shangri-La Hotel Paris,48.86376224925471,2.2931055812929597,2,French Restaurant,Art Museum,Hookah Bar,Chinese Restaurant,Market,Bookstore,Arts & Entertainment,Bar,Hotel Bar,Plaza
Hôtel Le Royal Monceau Raffles,48.87574467646414,2.3003550607479233,2,French Restaurant,Italian Restaurant,Brasserie,Pizza Place,Bistro,Asian Restaurant,Sporting Goods Shop,Spa,Seafood Restaurant,Salad Place
