Hotel,Hotel Id,Ratings
Hôtel Le Meurice,4b8b0cbef964a5203b9032e3,8.7
Hôtel Bel Ami,4b6ae8dbf964a52066e62be3,8.7
InterContinental Paris Le Grand Hôtel,4adcda03f964a520d13121e3,8.6
Grand Hôtel du Palais Royal,4b50f4d4f964a5207e3a27e3,8.3
Hôtel Les Jardins du Marais,4b7051cdf964a5205b122de3,8.1
Le Bristol,4adcda00f964a520e13021e3,9.2
W Paris – Opéra,4e8b0ce2f9f464ec8732a56d,8.7
Hôtel Plaza Athénée,4b817458f964a52024a730e3,9.4
Hôtel Four Seasons George V,4adcda00f964a520ba3021e3,9.5
Hôtel Prince de Galles,4b730be2f964a520f4972de3,9.0
Hôtel Costes,4adcda00f964a520f03021e3,8.3
Hôtel Barrière Le Fouquet's,4b8be0ccf964a52018b032e3,8.9
Mama Shelter,4afdc6cdf964a520c02a22e3,8.7
Artus Hotel,4b4cd0def964a52008c026e3,7.9
Grand Hôtel Français,4adcda01f964a520233121e3,8.4
Shangri-La Hotel Paris,4bd36c0eb221c9b66fbdd9d0,9.0
Hôtel Le Royal Monceau Raffles,4ca46f77b0ff8cfa746fbf5e,9.0
Hôtel Arès Tour Eiffel,4adcd9fff964a5208f3021e3,8.5
The Peninsula Paris,4df4832f14954f21cf31ff92,9.3
Hôtel Pullman Paris Centre - Bercy,4b8a107df964a520465e32e3,8.4
Hôtel Caron de Beaumarchais,4adcd9fff964a520993021e3,8.7
Hôtel Renaissance Paris Vendôme,4adcda03f964a520c23121e3,7.9
Hotel Atmospheres,505ec24de4b011bf1f426e58,8.8
Hôtel Jules & Jim,4c7d0a8948c6236ac1406311,8.8
Renaissance Paris Arc de Triomphe Hotel,4adcda04f964a520223221e3,8.5
Hôtel Pullman Paris Tour Eiffel,4c0f74e2d64c0f479fbc295d,8.4
Hôtel Providence,560ac500498e8ff36b2be81d,9.1
The Hoxton Paris,599f10d89b04730cde6d8bf4,9.1
Hôtel Paris Marriott Champs-Élysées,4bc4a3b8461576b09d338032,8.1
Novotel Paris Les Halles,4b980387f964a5201a2635e3,8.4
Renaissance Paris Republique Hotel,570366cb498ebe9c014e815e,8.9
Le 123 Sébastopol,5223b77c498ea0064dee963c,8.7
New Hotel Roblin,4c347d4d16adc928002ec59c,7.8
Hôtel Ritz,53b65301498e8cb57224f80c,9.4
Hôtel Jeanne d'Arc,4bcfebf8a8b3a593e122635f,8.4
Hôtel Verneuil,4adcda03f964a520f13121e3,8.7
Hôtel Lutetia,4adcda00f964a520b93021e3,9.0
Le General Hotel,4baa347ef964a52018533ae3,8.7
Fraser Suites Le Claridge Champs-Élysées,4c0bacd66a3bb713d49b72c7,8.0
Hôtel Mandarin Oriental,4d61286a1ee8721e010db321,9.0
Hôtel de Crillon,539788f1498e4e052ed81c7b,9.3
Hilton,4c8c717c509e370491d63355,7.8
Hôtel Dupond-Smith,52eb6e66498e58b3e63c6bd0,8.1
Hôtel Brighton,4adcda04f964a5200c3221e3,8.6
Hôtel Madison,4bc5f264d35d9c744adde13a,8.3
Petit Belloy St Germain by HappyCulture,4b1e916ff964a520c61b24e3,8.2
Hôtel citizenM Paris Gare de Lyon,5950b6d4ee71205475acadc1,8.6
Citadines Saint-Germain-des-Prés Paris,4bd5ee369649ce7226b5511d,8.2
Hôtel Scribe,4b1c038ef964a520b40024e3,8.7
Hôtel Louison (Ex-Aviatic Saint-Germain),4c0bb1997e3fc928449bf582,8.9
Hôtel Catalogne Paris Gare Montparnasse,4b6d4ec6f964a5205c702ce3,7.8
Hôtel Seven,4bb1c7f5f964a520bea23ce3,8.6
Hôtel Le Littré,4bcaef3e3740b7138a916165,8.7
Hôtel Napoléon,4adcda00f964a520cb3021e3,8.2
Hôtel Regina,4adcda02f964a520a03121e3,8.3
Holiday Inn Paris - Notre Dame,4be05f934c55b6516169eab7,8.1
Hotel Duo Paris,4e84bdeb2fb6611bdfd704ea,8.0
Starhotels Castille Paris,4af4c47ff964a520f4f521e3,8.6
Hôtel Edouard 7,4adcda00f964a520ed3021e3,8.4
Hotel L'Echiquier MGallery,563ce125cd109ebcf5a263f4,8.4
Hôtel Monte Cristo,5b22a33b0d0877001ccc5a5e,8.4
Hôtel Banke,4b96196ff964a520c0bc34e3,8.4
Hôtel Sofitel Paris Le Faubourg,4cbfe4aaacd48cfa89b8463f,8.5
Hôtel Crayon,4e84be752fb6611bdfd708f8,8.0
The Westin Paris – Vendôme,4b240781f964a520745f24e3,7.4
Hôtel Particulier Montmartre,4b806b0bf964a520867030e3,9.2
Hôtel Joke ***,550fe7b7498e65d5eaf29207,8.7
Villa Modigliani,4baa478bf964a520925a3ae3,8.3
7 Eiffel Hotel****,4d3750b3c47db1f7e7dceea5,7.5
Hôtel de l'Academie,4adcda04f964a5200d3221e3,7.5
Terrass'' Hotel,4b7924fef964a520dcec2ee3,8.8
Hôtel Paris Bastille Boutet MGallery by Sofitel,5696220d498edfe7601de2d3,8.3
Melia Vendôme Hôtel,4bc8688715a7ef3bdefb7ada,8.2
Hôtel Amour,4ac79395f964a52021b820e3,8.3
Hôtel Maison Souquet,55317068498e56b572f8d5fe,8.5
Millesime Hôtel,4dd103157d8b975f190b2c52,7.8
Hôtel Square Louvois,57487afd498eab125136394e,7.9
Hotel De Lille,4b9137a4f964a520ceaa33e3,7.9
K+K Hotel Cayré Paris,4c9655babc279c749d196753,7.6
Hotel Relais Bosquet,4af9f3faf964a520861522e3,8.4
Hôtel Jules,4c78bd9381bca0933c3dfb14,7.3
Villa Madame,4bb794f41261d13a6883e798,7.9
Hôtel Odyssey,4e84be772fb6611bdfd70908,7.8
Sofitel Paris Arc de Triomphe,4b1fde88f964a520012a24e3,8.7
Hôtel Du Louvre - In the Unbound Collection by Hyatt,4adcda04f964a520073221e3,7.7
Hôtel Élysées 8,4e065b5662e100e581693e47,7.8
Champs Elysées Friedland,4decaee38130115d6be3bd38,8.5
Hôtel Château Frontenac,4d31af6ec75a6ea8b39706ae,8.4
Courtyard by Marriott Paris Gare de Lyon,5bbc5cf23c858d002cf92ff3,7.8
Hôtel Quartier Latin,4b28ab39f964a5208e9424e3,7.1
Hotel Athenee Paris,4d44616c1911a0939f82d7d8,7.9
Hôtel Villa Saxe Eiffel,54665a51498e40bd82cdbf28,8.1
Hôtel du Midi Paris Montparnasse,4f1a6493e4b035290d2f2098,8.1
Hôtel R. Kipling,51584edfe4b0dadf8d186719,8.4
Cordelia Hotel,4d87a69cf9f3a1cdc03bf764,7.9
Hôtel du College de France,4adcda02f964a520813121e3,7.6
Hôtel San Régis,4d814cd4577eb1f7980bb9d3,8.1
Hôtel Raphaël,4bb0acfff964a52020543ce3,8.5
Hôtel de Turenne,4db5b07ba86e8d27079cd1bf,8.0
Le Pigalle,558d1c12498e3115c247d53b,7.9
